pos,interpolated ranks,Interpolated Average
WR,61.4,9.4
WR,61.5,9.4
WR,61.6,9.4
WR,61.7,9.39
WR,61.8,9.39
WR,61.9,9.38
WR,62,9.38
WR,62.1,9.36
WR,62.2,9.34
WR,62.3,9.32
WR,62.4,9.3
WR,62.5,9.28
WR,62.6,9.26
WR,62.7,9.24
WR,62.8,9.22
WR,62.9,9.2
WR,63,9.18
WR,63.1,9.17
WR,63.2,9.15
WR,63.3,9.14
WR,63.4,9.12
WR,63.5,9.11
WR,63.6,9.1
WR,63.7,9.08
WR,63.8,9.07
WR,63.9,9.05
WR,64,9.04
WR,64.1,9.03
WR,64.2,9.02
WR,64.3,9.02
WR,64.4,9.01
WR,64.5,9
WR,64.6,8.99
WR,64.7,8.98
WR,64.8,8.98
WR,64.9,8.97
WR,65,8.96
WR,65.1,8.95
WR,65.2,8.94
WR,65.3,8.93
WR,65.4,8.92
WR,65.5,8.91
WR,65.6,8.9
WR,65.7,8.89
WR,65.8,8.88
WR,65.9,8.87
WR,66,8.86
WR,66.1,8.85
WR,66.2,8.84
WR,66.3,8.82
WR,66.4,8.81
WR,66.5,8.8
WR,66.6,8.79
WR,66.7,8.78
WR,66.8,8.76
WR,66.9,8.75
WR,67,8.74
WR,67.1,8.73
WR,67.2,8.73
WR,67.3,8.72
WR,67.4,8.72
WR,67.5,8.71
WR,67.6,8.7
WR,67.7,8.7
WR,67.8,8.69
WR,67.9,8.69
WR,68,8.68
WR,68.1,8.66
WR,68.2,8.65
WR,68.3,8.63
WR,68.4,8.62
WR,68.5,8.6
WR,68.6,8.58
WR,68.7,8.57
WR,68.8,8.55
WR,68.9,8.54
WR,69,8.52
WR,69.1,8.5
WR,69.2,8.48
WR,69.3,8.46
WR,69.4,8.44
WR,69.5,8.42
WR,69.6,8.4
WR,69.7,8.38
WR,69.8,8.36
WR,69.9,8.34
WR,70,8.32
WR,70.1,8.31
WR,70.2,8.31
WR,70.3,8.3
WR,70.4,8.3
WR,70.5,8.29
WR,70.6,8.28
WR,70.7,8.28
WR,70.8,8.27
WR,70.9,8.27
WR,71,8.26
WR,71.1,8.25
WR,71.2,8.25
WR,71.3,8.24
WR,71.4,8.24
WR,71.5,8.23
WR,71.6,8.22
WR,71.7,8.22
WR,71.8,8.21
WR,71.9,8.21
WR,72,8.2
WR,72.1,8.19
WR,72.2,8.19
WR,72.3,8.18
WR,72.4,8.18
WR,72.5,8.17
WR,72.6,8.16
WR,72.7,8.16
WR,72.8,8.15
WR,72.9,8.15
WR,73,8.14
WR,73.1,8.13
WR,73.2,8.13
WR,73.3,8.12
WR,73.4,8.12
WR,73.5,8.11
WR,73.6,8.1
WR,73.7,8.1
WR,73.8,8.09
WR,73.9,8.09
WR,74,8.08
WR,74.1,8.06
WR,74.2,8.04
WR,74.3,8.01
WR,74.4,7.99
WR,74.5,7.97
WR,74.6,7.95
WR,74.7,7.93
WR,74.8,7.9
WR,74.9,7.88
WR,75,7.86
WR,75.1,7.86
WR,75.2,7.85
WR,75.3,7.85
WR,75.4,7.84
WR,75.5,7.84
WR,75.6,7.84
WR,75.7,7.83
WR,75.8,7.83
WR,75.9,7.82
WR,76,7.82
WR,76.1,7.81
WR,76.2,7.8
WR,76.3,7.79
WR,76.4,7.78
WR,76.5,7.77
WR,76.6,7.76
WR,76.7,7.75
WR,76.8,7.74
WR,76.9,7.73
WR,77,7.72
WR,77.1,7.71
WR,77.2,7.7
WR,77.3,7.7
WR,77.4,7.69
WR,77.5,7.68
WR,77.6,7.67
WR,77.7,7.66
WR,77.8,7.66
WR,77.9,7.65
WR,78,7.64
WR,78.1,7.63
WR,78.2,7.63
WR,78.3,7.62
WR,78.4,7.62
WR,78.5,7.61
WR,78.6,7.6
WR,78.7,7.6
WR,78.8,7.59
WR,78.9,7.59
WR,79,7.58
WR,79.1,7.57
WR,79.2,7.56
WR,79.3,7.55
WR,79.4,7.54
WR,79.5,7.53
WR,79.6,7.52
WR,79.7,7.51
WR,79.8,7.5
WR,79.9,7.49
WR,80,7.48
WR,80.1,7.47
WR,80.2,7.46
WR,80.3,7.46
WR,80.4,7.45
WR,80.5,7.44
WR,80.6,7.43
WR,80.7,7.42
WR,80.8,7.42
WR,80.9,7.41
WR,81,7.4
WR,81.1,7.4
WR,81.2,7.39
WR,81.3,7.39
WR,81.4,7.38
WR,81.5,7.38
WR,81.6,7.38
WR,81.7,7.37
WR,81.8,7.37
WR,81.9,7.36
WR,82,7.36
WR,82.1,7.35
WR,82.2,7.34
WR,82.3,7.34
WR,82.4,7.33
WR,82.5,7.32
WR,82.6,7.31
WR,82.7,7.3
WR,82.8,7.3
WR,82.9,7.29
WR,83,7.28
WR,83.1,7.27
WR,83.2,7.26
WR,83.3,7.25
WR,83.4,7.24
WR,83.5,7.23
WR,83.6,7.22
WR,83.7,7.21
WR,83.8,7.2
WR,83.9,7.19
WR,84,7.18
WR,84.1,7.17
WR,84.2,7.17
WR,84.3,7.16
WR,84.4,7.16
WR,84.5,7.15
WR,84.6,7.14
WR,84.7,7.14
WR,84.8,7.13
WR,84.9,7.13
WR,85,7.12
WR,85.1,7.11
WR,85.2,7.1
WR,85.3,7.1
WR,85.4,7.09
WR,85.5,7.08
WR,85.6,7.07
WR,85.7,7.06
WR,85.8,7.06
WR,85.9,7.05
WR,86,7.04
WR,86.1,7.03
WR,86.2,7.02
WR,86.3,7
WR,86.4,6.99
WR,86.5,6.98
WR,86.6,6.97
WR,86.7,6.96
WR,86.8,6.94
WR,86.9,6.93
WR,87,6.92
WR,87.1,6.92
WR,87.2,6.91
WR,87.3,6.91
WR,87.4,6.9
WR,87.5,6.9
WR,87.6,6.9
WR,87.7,6.89
WR,87.8,6.89
WR,87.9,6.88
WR,88,6.88
WR,88.1,6.88
WR,88.2,6.87
WR,88.3,6.87
WR,88.4,6.86
WR,88.5,6.86
WR,88.6,6.86
WR,88.7,6.85
WR,88.8,6.85
WR,88.9,6.84
WR,89,6.84
WR,89.1,6.83
WR,89.2,6.82
WR,89.3,6.81
WR,89.4,6.8
WR,89.5,6.79
WR,89.6,6.78
WR,89.7,6.77
WR,89.8,6.76
WR,89.9,6.75
WR,90,6.74
WR,90.1,6.72
WR,90.2,6.7
WR,90.3,6.69
WR,90.4,6.67
WR,90.5,6.65
WR,90.6,6.63
WR,90.7,6.61
WR,90.8,6.6
WR,90.9,6.58
WR,91,6.56
WR,91.1,6.55
WR,91.2,6.54
WR,91.3,6.53
WR,91.4,6.52
WR,91.5,6.51
WR,91.6,6.5
WR,91.7,6.49
WR,91.8,6.48
WR,91.9,6.47
WR,92,6.46
WR,92.1,6.45
WR,92.2,6.44
WR,92.3,6.44
WR,92.4,6.43
WR,92.5,6.42
WR,92.6,6.41
WR,92.7,6.4
WR,92.8,6.4
WR,92.9,6.39
WR,93,6.38
WR,93.1,6.38
WR,93.2,6.38
WR,93.3,6.37
WR,93.4,6.37
WR,93.5,6.37
WR,93.6,6.37
WR,93.7,6.37
WR,93.8,6.36
WR,93.9,6.36
WR,94,6.36
WR,94.1,6.35
WR,94.2,6.34
WR,94.3,6.33
WR,94.4,6.32
WR,94.5,6.31
WR,94.6,6.3
WR,94.7,6.29
WR,94.8,6.28
WR,94.9,6.27
WR,95,6.26
WR,95.1,6.26
WR,95.2,6.26
WR,95.3,6.25
WR,95.4,6.25
WR,95.5,6.25
WR,95.6,6.25
WR,95.7,6.25
WR,95.8,6.24
WR,95.9,6.24
WR,96,6.24
WR,96.1,6.23
WR,96.2,6.23
WR,96.3,6.22
WR,96.4,6.22
WR,96.5,6.21
WR,96.6,6.2
WR,96.7,6.2
WR,96.8,6.19
WR,96.9,6.19
WR,97,6.18
WR,97.1,6.17
WR,97.2,6.16
WR,97.3,6.16
WR,97.4,6.15
WR,97.5,6.14
WR,97.6,6.13
WR,97.7,6.12
WR,97.8,6.12
WR,97.9,6.11
WR,98,6.1
WR,98.1,6.1
WR,98.2,6.1
WR,98.3,6.1
WR,98.4,6.1
WR,98.5,6.1
WR,98.6,6.1
WR,98.7,6.1
WR,98.8,6.1
WR,98.9,6.1
WR,99,6.1
WR,99.1,6.09
WR,99.2,6.09
WR,99.3,6.08
WR,99.4,6.08
WR,99.5,6.07
WR,99.6,6.06
WR,99.7,6.06
WR,99.8,6.05
WR,99.9,6.05
WR,100,6.04
WR,100.1,6.03
WR,100.2,6.02
WR,100.3,6.02
WR,100.4,6.01
WR,100.5,6
WR,100.6,5.99
WR,100.7,5.98
WR,100.8,5.98
WR,100.9,5.97
WR,101,5.96
WR,101.1,5.96
WR,101.2,5.95
WR,101.3,5.95
WR,101.4,5.94
WR,101.5,5.94
WR,101.6,5.94
WR,101.7,5.93
WR,101.8,5.93
WR,101.9,5.92
WR,102,5.92
WR,102.1,5.92
WR,102.2,5.91
WR,102.3,5.91
WR,102.4,5.9
WR,102.5,5.9
WR,102.6,5.9
WR,102.7,5.89
WR,102.8,5.89
WR,102.9,5.88
WR,103,5.88
WR,103.1,5.87
WR,103.2,5.86
WR,103.3,5.84
WR,103.4,5.83
WR,103.5,5.82
WR,103.6,5.81
WR,103.7,5.8
WR,103.8,5.78
WR,103.9,5.77
WR,104,5.76
WR,104.1,5.75
WR,104.2,5.75
WR,104.3,5.74
WR,104.4,5.74
WR,104.5,5.73
WR,104.6,5.72
WR,104.7,5.72
WR,104.8,5.71
WR,104.9,5.71
WR,105,5.7
WR,105.1,5.7
WR,105.2,5.69
WR,105.3,5.69
WR,105.4,5.68
WR,105.5,5.68
WR,105.6,5.68
WR,105.7,5.67
WR,105.8,5.67
WR,105.9,5.66
WR,106,5.66
WR,106.1,5.66
WR,106.2,5.66
WR,106.3,5.65
WR,106.4,5.65
WR,106.5,5.65
WR,106.6,5.65
WR,106.7,5.65
WR,106.8,5.64
WR,106.9,5.64
WR,107,5.64
WR,107.1,5.63
WR,107.2,5.62
WR,107.3,5.6
WR,107.4,5.59
WR,107.5,5.58
WR,107.6,5.57
WR,107.7,5.56
WR,107.8,5.54
WR,107.9,5.53
WR,108,5.52
WR,108.1,5.51
WR,108.2,5.5
WR,108.3,5.5
WR,108.4,5.49
WR,108.5,5.48
WR,108.6,5.47
WR,108.7,5.46
WR,108.8,5.46
WR,108.9,5.45
WR,109,5.44
WR,109.1,5.44
WR,109.2,5.43
WR,109.3,5.43
WR,109.4,5.42
WR,109.5,5.42
WR,109.6,5.42
WR,109.7,5.41
WR,109.8,5.41
WR,109.9,5.4
WR,110,5.4
WR,110.1,5.39
WR,110.2,5.38
WR,110.3,5.36
WR,110.4,5.35
WR,110.5,5.34
WR,110.6,5.33
WR,110.7,5.32
WR,110.8,5.3
WR,110.9,5.29
WR,111,5.28
WR,111.1,5.27
WR,111.2,5.27
WR,111.3,5.26
WR,111.4,5.26
WR,111.5,5.25
WR,111.6,5.24
WR,111.7,5.24
WR,111.8,5.23
WR,111.9,5.23
WR,112,5.22
WR,112.1,5.21
WR,112.2,5.2
WR,112.3,5.18
WR,112.4,5.17
WR,112.5,5.16
WR,112.6,5.15
WR,112.7,5.14
WR,112.8,5.12
WR,112.9,5.11
WR,113,5.1
WR,113.1,5.1
WR,113.2,5.1
WR,113.3,5.09
WR,113.4,5.09
WR,113.5,5.09
WR,113.6,5.09
WR,113.7,5.09
WR,113.8,5.08
WR,113.9,5.08
WR,114,5.08
WR,114.1,5.07
WR,114.2,5.07
WR,114.3,5.06
WR,114.4,5.06
WR,114.5,5.05
WR,114.6,5.04
WR,114.7,5.04
WR,114.8,5.03
WR,114.9,5.03
WR,115,5.02
WR,115.1,5.01
WR,115.2,5
WR,115.3,5
WR,115.4,4.99
WR,115.5,4.98
WR,115.6,4.97
WR,115.7,4.96
WR,115.8,4.96
WR,115.9,4.95
WR,116,4.94
WR,116.1,4.94
WR,116.2,4.94
WR,116.3,4.93
WR,116.4,4.93
WR,116.5,4.93
WR,116.6,4.93
WR,116.7,4.93
WR,116.8,4.92
WR,116.9,4.92
WR,117,4.92
WR,117.1,4.91
WR,117.2,4.91
WR,117.3,4.9
WR,117.4,4.9
WR,117.5,4.89
WR,117.6,4.88
WR,117.7,4.88
WR,117.8,4.87
WR,117.9,4.87
WR,118,4.86
WR,118.1,4.85
WR,118.2,4.84
WR,118.3,4.82
WR,118.4,4.81
WR,118.5,4.8
WR,118.6,4.79
WR,118.7,4.78
WR,118.8,4.76
WR,118.9,4.75
WR,119,4.74
WR,119.1,4.73
WR,119.2,4.72
WR,119.3,4.71
WR,119.4,4.7
WR,119.5,4.69
WR,119.6,4.68
WR,119.7,4.67
WR,119.8,4.66
WR,119.9,4.65
WR,120,4.64
WR,120.1,4.64
WR,120.2,4.64
WR,120.3,4.63
WR,120.4,4.63
WR,120.5,4.63
WR,120.6,4.63
WR,120.7,4.63
WR,120.8,4.62
WR,120.9,4.62
WR,121,4.62
WR,121.1,4.61
WR,121.2,4.61
WR,121.3,4.6
WR,121.4,4.6
WR,121.5,4.59
WR,121.6,4.58
WR,121.7,4.58
WR,121.8,4.57
WR,121.9,4.57
WR,122,4.56
WR,122.1,4.55
WR,122.2,4.55
WR,122.3,4.54
WR,122.4,4.54
WR,122.5,4.53
WR,122.6,4.52
WR,122.7,4.52
WR,122.8,4.51
WR,122.9,4.51
WR,123,4.5
WR,123.1,4.49
WR,123.2,4.49
WR,123.3,4.48
WR,123.4,4.48
WR,123.5,4.47
WR,123.6,4.46
WR,123.7,4.46
WR,123.8,4.45
WR,123.9,4.45
WR,124,4.44
WR,124.1,4.43
WR,124.2,4.43
WR,124.3,4.42
WR,124.4,4.42
WR,124.5,4.41
WR,124.6,4.4
WR,124.7,4.4
WR,124.8,4.39
WR,124.9,4.39
WR,125,4.38
WR,125.1,4.37
WR,125.2,4.37
WR,125.3,4.36
WR,125.4,4.36
WR,125.5,4.35
WR,125.6,4.34
WR,125.7,4.34
WR,125.8,4.33
WR,125.9,4.33
WR,126,4.32
WR,126.1,4.32
WR,126.2,4.32
WR,126.3,4.32
WR,126.4,4.32
WR,126.5,4.32
WR,126.6,4.32
WR,126.7,4.32
WR,126.8,4.32
WR,126.9,4.32
WR,127,4.32
WR,127.1,4.31
WR,127.2,4.31
WR,127.3,4.3
WR,127.4,4.3
WR,127.5,4.29
WR,127.6,4.28
WR,127.7,4.28
WR,127.8,4.27
WR,127.9,4.27
WR,128,4.26
WR,128.1,4.25
WR,128.2,4.24
WR,128.3,4.24
WR,128.4,4.23
WR,128.5,4.22
WR,128.6,4.21
WR,128.7,4.2
WR,128.8,4.2
WR,128.9,4.19
WR,129,4.18
WR,129.1,4.18
WR,129.2,4.18
WR,129.3,4.17
WR,129.4,4.17
WR,129.5,4.17
WR,129.6,4.17
WR,129.7,4.17
WR,129.8,4.16
WR,129.9,4.16
WR,130,4.16
WR,130.1,4.15
WR,130.2,4.15
WR,130.3,4.14
WR,130.4,4.14
WR,130.5,4.13
WR,130.6,4.12
WR,130.7,4.12
WR,130.8,4.11
WR,130.9,4.11
WR,131,4.1
WR,131.1,4.09
WR,131.2,4.08
WR,131.3,4.08
WR,131.4,4.07
WR,131.5,4.06
WR,131.6,4.05
WR,131.7,4.04
WR,131.8,4.04
WR,131.9,4.03
WR,132,4.02
WR,132.1,4.02
WR,132.2,4.02
WR,132.3,4.01
WR,132.4,4.01
WR,132.5,4.01
WR,132.6,4.01
WR,132.7,4.01
WR,132.8,4
WR,132.9,4
WR,133,4
WR,133.1,3.99
WR,133.2,3.98
WR,133.3,3.98
WR,133.4,3.97
WR,133.5,3.96
WR,133.6,3.95
WR,133.7,3.94
WR,133.8,3.94
WR,133.9,3.93
WR,134,3.92
WR,134.1,3.91
WR,134.2,3.89
WR,134.3,3.88
WR,134.4,3.86
WR,134.5,3.85
WR,134.6,3.84
WR,134.7,3.82
WR,134.8,3.81
WR,134.9,3.79
WR,135,3.78
WR,135.1,3.78
WR,135.2,3.77
WR,135.3,3.77
WR,135.4,3.76
WR,135.5,3.76
WR,135.6,3.76
WR,135.7,3.75
WR,135.8,3.75
WR,135.9,3.74
WR,136,3.74
WR,136.1,3.74
WR,136.2,3.73
WR,136.3,3.73
WR,136.4,3.72
WR,136.5,3.72
WR,136.6,3.72
WR,136.7,3.71
WR,136.8,3.71
WR,136.9,3.7
WR,137,3.7
WR,137.1,3.69
WR,137.2,3.68
WR,137.3,3.68
WR,137.4,3.67
WR,137.5,3.66
WR,137.6,3.65
WR,137.7,3.64
WR,137.8,3.64
WR,137.9,3.63
WR,138,3.62
WR,138.1,3.62
WR,138.2,3.62
WR,138.3,3.62
WR,138.4,3.62
WR,138.5,3.62
WR,138.6,3.62
WR,138.7,3.62
WR,138.8,3.62
WR,138.9,3.62
WR,139,3.62
WR,139.1,3.62
WR,139.2,3.61
WR,139.3,3.61
WR,139.4,3.6
WR,139.5,3.6
WR,139.6,3.6
WR,139.7,3.59
WR,139.8,3.59
WR,139.9,3.58
WR,140,3.58
WR,140.1,3.58
WR,140.2,3.58
WR,140.3,3.57
WR,140.4,3.57
WR,140.5,3.57
WR,140.6,3.57
WR,140.7,3.57
WR,140.8,3.56
WR,140.9,3.56
WR,141,3.56
WR,141.1,3.55
WR,141.2,3.54
WR,141.3,3.54
WR,141.4,3.53
WR,141.5,3.52
WR,141.6,3.51
WR,141.7,3.5
WR,141.8,3.5
WR,141.9,3.49
WR,142,3.48
WR,142.1,3.48
WR,142.2,3.47
WR,142.3,3.47
WR,142.4,3.46
WR,142.5,3.46
WR,142.6,3.46
WR,142.7,3.45
WR,142.8,3.45
WR,142.9,3.44
WR,143,3.44
WR,143.1,3.44
WR,143.2,3.43
WR,143.3,3.43
WR,143.4,3.42
WR,143.5,3.42
WR,143.6,3.42
WR,143.7,3.41
WR,143.8,3.41
WR,143.9,3.4
WR,144,3.4
WR,144.1,3.39
WR,144.2,3.38
WR,144.3,3.37
WR,144.4,3.36
WR,144.5,3.35
WR,144.6,3.34
WR,144.7,3.33
WR,144.8,3.32
WR,144.9,3.31
WR,145,3.3
WR,145.1,3.29
WR,145.2,3.28
WR,145.3,3.28
WR,145.4,3.27
WR,145.5,3.26
WR,145.6,3.25
WR,145.7,3.24
WR,145.8,3.24
WR,145.9,3.23
WR,146,3.22
WR,146.1,3.22
WR,146.2,3.21
WR,146.3,3.21
WR,146.4,3.2
WR,146.5,3.2
WR,146.6,3.2
WR,146.7,3.19
WR,146.8,3.19
WR,146.9,3.18
WR,147,3.18
WR,147.1,3.18
WR,147.2,3.18
WR,147.3,3.17
WR,147.4,3.17
WR,147.5,3.17
WR,147.6,3.17
WR,147.7,3.17
WR,147.8,3.16
WR,147.9,3.16
WR,148,3.16
WR,148.1,3.15
WR,148.2,3.15
WR,148.3,3.14
WR,148.4,3.14
WR,148.5,3.13
WR,148.6,3.12
WR,148.7,3.12
WR,148.8,3.11
WR,148.9,3.11
WR,149,3.1
WR,149.1,3.1
WR,149.2,3.1
WR,149.3,3.09
WR,149.4,3.09
WR,149.5,3.09
WR,149.6,3.09
WR,149.7,3.09
WR,149.8,3.08
WR,149.9,3.08
WR,150,3.08
WR,150.1,3.07
WR,150.2,3.06
WR,150.3,3.04
WR,150.4,3.03
WR,150.5,3.02
WR,150.6,3.01
WR,150.7,3
WR,150.8,2.98
WR,150.9,2.97
WR,151,2.96
WR,151.1,2.96
WR,151.2,2.95
WR,151.3,2.95
WR,151.4,2.94
WR,151.5,2.94
WR,151.6,2.94
WR,151.7,2.93
WR,151.8,2.93
WR,151.9,2.92
WR,152,2.92
WR,152.1,2.92
WR,152.2,2.92
WR,152.3,2.91
WR,152.4,2.91
WR,152.5,2.91
WR,152.6,2.91
WR,152.7,2.91
WR,152.8,2.9
WR,152.9,2.9
WR,153,2.9
WR,153.1,2.89
WR,153.2,2.89
WR,153.3,2.88
WR,153.4,2.88
WR,153.5,2.87
WR,153.6,2.86
WR,153.7,2.86
WR,153.8,2.85
WR,153.9,2.85
WR,154,2.84
WR,154.1,2.84
WR,154.2,2.84
WR,154.3,2.83
WR,154.4,2.83
WR,154.5,2.83
WR,154.6,2.83
WR,154.7,2.83
WR,154.8,2.82
WR,154.9,2.82
WR,155,2.82
WR,155.1,2.82
WR,155.2,2.82
WR,155.3,2.81
WR,155.4,2.81
WR,155.5,2.81
WR,155.6,2.81
WR,155.7,2.81
WR,155.8,2.8
WR,155.9,2.8
WR,156,2.8
WR,156.1,2.79
WR,156.2,2.78
WR,156.3,2.77
WR,156.4,2.76
WR,156.5,2.75
WR,156.6,2.74
WR,156.7,2.73
WR,156.8,2.72
WR,156.9,2.71
WR,157,2.7
WR,157.1,2.7
WR,157.2,2.69
WR,157.3,2.69
WR,157.4,2.68
WR,157.5,2.68
WR,157.6,2.68
WR,157.7,2.67
WR,157.8,2.67
WR,157.9,2.66
WR,158,2.66
WR,158.1,2.66
WR,158.2,2.65
WR,158.3,2.65
WR,158.4,2.64
WR,158.5,2.64
WR,158.6,2.64
WR,158.7,2.63
WR,158.8,2.63
WR,158.9,2.62
WR,159,2.62
WR,159.1,2.61
WR,159.2,2.61
WR,159.3,2.6
WR,159.4,2.6
WR,159.5,2.59
WR,159.6,2.58
WR,159.7,2.58
WR,159.8,2.57
WR,159.9,2.57
WR,160,2.56
WR,160.1,2.55
WR,160.2,2.54
WR,160.3,2.53
WR,160.4,2.52
WR,160.5,2.51
WR,160.6,2.5
WR,160.7,2.49
WR,160.8,2.48
WR,160.9,2.47
WR,161,2.46
WR,161.1,2.45
WR,161.2,2.43
WR,161.3,2.42
WR,161.4,2.4
WR,161.5,2.39
WR,161.6,2.38
WR,161.7,2.36
WR,161.8,2.35
WR,161.9,2.33
WR,162,2.32
WR,162.1,2.31
WR,162.2,2.3
WR,162.3,2.3
WR,162.4,2.29
WR,162.5,2.28
WR,162.6,2.27
WR,162.7,2.26
WR,162.8,2.26
WR,162.9,2.25
WR,163,2.24
WR,163.1,2.23
WR,163.2,2.21
WR,163.3,2.2
WR,163.4,2.18
WR,163.5,2.17
WR,163.6,2.16
WR,163.7,2.14
WR,163.8,2.13
WR,163.9,2.11
WR,164,2.1
WR,164.1,2.09
WR,164.2,2.09
WR,164.3,2.08
WR,164.4,2.08
WR,164.5,2.07
WR,164.6,2.06
WR,164.7,2.06
WR,164.8,2.05
WR,164.9,2.05
WR,165,2.04
WR,165.1,2.04
WR,165.2,2.04
WR,165.3,2.03
WR,165.4,2.03
WR,165.5,2.03
WR,165.6,2.03
WR,165.7,2.03
WR,165.8,2.02
WR,165.9,2.02
WR,166,2.02
WR,166.1,2.01
WR,166.2,2
WR,166.3,1.99
WR,166.4,1.98
WR,166.5,1.97
WR,166.6,1.96
WR,166.7,1.95
WR,166.8,1.94
WR,166.9,1.93
WR,167,1.92
WR,167.1,1.92
WR,167.2,1.92
WR,167.3,1.91
WR,167.4,1.91
WR,167.5,1.91
WR,167.6,1.91
WR,167.7,1.91
WR,167.8,1.9
WR,167.9,1.9
WR,168,1.9
WR,168.1,1.89
WR,168.2,1.89
WR,168.3,1.88
WR,168.4,1.88
WR,168.5,1.87
WR,168.6,1.86
WR,168.7,1.86
WR,168.8,1.85
WR,168.9,1.85
WR,169,1.84
WR,169.1,1.84
WR,169.2,1.83
WR,169.3,1.83
WR,169.4,1.82
WR,169.5,1.82
WR,169.6,1.82
WR,169.7,1.81
WR,169.8,1.81
WR,169.9,1.8
WR,170,1.8
WR,170.1,1.8
WR,170.2,1.79
WR,170.3,1.79
WR,170.4,1.78
WR,170.5,1.78
WR,170.6,1.78
WR,170.7,1.77
WR,170.8,1.77
WR,170.9,1.76
WR,171,1.76
WR,171.1,1.75
WR,171.2,1.74
WR,171.3,1.72
WR,171.4,1.71
WR,171.5,1.7
WR,171.6,1.69
WR,171.7,1.68
WR,171.8,1.66
WR,171.9,1.65
WR,172,1.64
WR,172.1,
WR,172.2,
WR,172.3,
WR,172.4,
WR,172.5,
WR,172.6,
WR,172.7,
WR,172.8,
WR,172.9,
WR,173,
